# 04-22-2023 11:06:38, Main, Main, Main, Main, Main, Main
# Node, Navigation, Navigation, Navigation, Navigation, Navigation, Navigation
# Message, imu_gyro, imu_gyro, imu_gyro, imu_accel, imu_accel, imu_accel
# Signal, imu_gyro_x, imu_gyro_y, imu_gyro_z, imu_accel_x, imu_accel_y, imu_accel_z
0,0,0,0,0,0,0
0.015,0,0,0,0.01,8.51,5.02
0.03,0,0,0,-0.02,8.5,4.97
0.045,0,0,0,0,8.48,5.01
0.06,0,0,0,0,8.46,5.04
0.075,0,0,0,0,8.48,4.94
0.09,0,0,0,0,8.51,4.91
0.105,0,0,0.01,0,8.48,5.03
0.12,0,0,0,0.01,8.47,5.06
0.135,0,0,0,-0.03,8.49,4.96
0.15,0,0,0,0.01,8.45,5.04
0.165,0,0,0,-0.03,8.5,4.97
0.18,0,0,0,0,8.51,4.97
0.195,0,0,0,-0.02,8.5,4.99
0.21,0,0,0,0.01,8.49,5.02
0.225,0,0,0.01,-0.01,8.53,4.95
0.24,0,0,0,0.02,8.48,5.05
0.255,0,0,0,0.01,8.45,5.06
0.27,0,0,0,0,8.46,5.05
0.285,0,0,0,0.01,8.46,5.04
0.3,0,0,0,-0.04,8.49,4.97
0.315,0,0,0,0,8.5,5
0.33,0,0,0,-0.04,8.52,4.99
0.345,0,0,0,-0.03,8.49,5
0.36,0,0,0,-0.04,8.52,4.95
0.375,0,0,0,0,8.45,5.05
0.39,0,0,0,-0.01,8.5,4.93
0.405,0,0,0,0.03,8.47,5.04
0.42,0,0,0,0.05,8.47,5.04
0.435,0,0,0,0,8.49,4.94
0.45,0,0,0,0.01,8.45,4.98
0.465,0,0,0,0.04,8.46,4.99
0.48,0,0,0,0.04,8.52,5.01
0.495,0,0,0,-0.02,8.58,4.96
0.51,0,0,0,0,8.53,5.08
0.525,0,0,0,-0.07,8.53,4.92
0.54,0,0,0,-0.07,8.47,4.91
0.555,0,0,0,-0.01,8.4,4.99
0.57,0,0,0,-0.01,8.43,4.97
0.585,0,0,0,-0.02,8.49,5.03
0.6,0,0,0,-0.02,8.5,5.04
0.615,0,0,0,0.01,8.54,5.1
0.63,0,0,0,0.02,8.56,5.01
0.645,0,0,0,0.01,8.49,5.07
0.66,0,0,0,0.02,8.43,5.01
0.675,0,0,0,-0.01,8.45,4.9
0.69,0,0,0,0,8.48,4.88
0.705,0,0,0,-0.02,8.53,4.96
0.72,0,0,0,0,8.52,5.03
0.735,0,0,0,-0.02,8.54,5.02
0.75,0,0,0,-0.04,8.49,5.02
0.765,0,0,0,-0.02,8.51,5.02
0.78,0,0,0,-0.04,8.5,4.94
0.795,0,0,0,-0.03,8.49,4.93
0.81,0,0,0,0.01,8.45,5.02
0.825,0,0,0,0.02,8.48,5.06
0.84,0,0,0,-0.03,8.5,4.93
0.855,0,0,0,0.03,8.48,5.05
0.87,0,0,0,0,8.51,5.02
0.885,0,0,0,-0.03,8.49,4.96
0.9,0,0,0,-0.01,8.5,5
0.915,0,0,0,0,8.46,4.99
0.93,0,0,0,0,8.52,4.93
0.945,0,0,0,-0.04,8.49,4.92
0.96,0,0,0,0,8.47,5.07
0.975,0,0,0,-0.04,8.51,4.94
0.99,0,0,0,-0.06,8.5,4.96
1.005,0,0,0,-0.01,8.46,4.99
1.02,0,0,0,0,8.5,5.02
1.035,0,0,0,0.01,8.48,4.98
1.05,0,0,0,0,8.49,4.99
1.065,0,0,0,0,8.5,4.96
1.08,0,0,0,-0.02,8.51,4.94
1.095,0,0,0,0.01,8.48,5.04
1.11,0,0,0,-0.03,8.5,4.93
1.125,0,0,0,0.02,8.49,5.03
1.14,0,0,0,-0.03,8.48,4.96
1.155,0,0,0,-0.04,8.5,5
1.17,0,0,0,0,8.5,4.98
1.185,0,0,0,0,8.46,5
1.2,0,0,0,0,8.47,5.02
1.215,0,0,0,0,8.47,5.04
1.23,0,0,0,-0.03,8.49,4.94
1.245,0,0,0,-0.05,8.49,4.92
1.26,0,0,0,0.02,8.47,5.06
1.275,0,0,0,0.02,8.49,5.05
1.29,0,0,0,-0.03,8.51,4.98
1.305,0,0,0,0.03,8.5,5.01
1.32,0,0,0,-0.01,8.49,5
1.335,0,0,0,0,8.49,4.97
1.35,0,0,0,0.01,8.44,5.05
1.365,0,0,0,0,8.44,5.03
1.38,0,0,0,-0.03,8.5,4.94
1.395,0,0,0,0,8.45,5.06
1.41,0,0,0,-0.03,8.51,4.95
1.425,0,0,0,0,8.48,5.03
1.44,0,0,0,-0.03,8.48,4.99
1.455,0,0,0,-0.02,8.47,4.98
1.47,0,0,0,0.01,8.5,4.97
1.485,0,0,0.01,0,8.5,4.94
1.5,0,0,0.01,-0.01,8.47,5.03
1.515,0,0,0,-0.02,8.5,4.92
1.53,0,0,0,0,8.48,5.05
1.545,0,0,0,-0.02,8.49,4.94
1.56,0,0,0,0.04,8.49,5.05
1.575,0,0,0,0,8.51,5.03
1.59,0,0,0,-0.01,8.49,4.95
1.605,0,0,0,-0.02,8.46,5.01
1.62,0,0,0,-0.01,8.47,5.01
1.635,0,0,0,-0.02,8.52,4.95
1.65,0,0,0,-0.04,8.49,4.94
1.665,0,0,0,0.02,8.47,5.05
1.68,0,0,0,-0.01,8.52,4.92
1.695,0,0,0,-0.04,8.49,4.96
1.71,0,0,0,0,8.49,5.01
1.725,0,0,0,-0.03,8.49,4.97
1.74,0,0,0,-0.01,8.5,5
1.755,0,0,0,-0.02,8.49,5.02
1.77,0,0,0,0,8.46,5.02
1.785,0,0,0,-0.01,8.49,4.93
1.8,0,0,0,0.02,8.48,5.07
1.815,0,0,0,0.03,8.47,5.05
1.83,0,0,0,0.04,8.5,5.02
1.845,0,0,0,-0.02,8.5,4.98
1.86,0,0,0,-0.02,8.47,4.98
1.875,0,0,0,-0.01,8.5,4.99
1.89,0,0,0,-0.02,8.47,5.01
1.905,0,0,0,-0.01,8.46,5.03
1.92,0,0,0,-0.01,8.51,4.96
1.935,0,0,0,0.01,8.48,5.06
1.95,0,0,0,-0.02,8.49,4.92
1.965,0,0,0,0.01,8.45,5.05
1.98,0,0,0,0.01,8.48,5.02
1.995,0,0,0,-0.03,8.49,4.96
2.01,0,0,0,0,8.49,5.05
2.025,0,0,0,0,8.52,4.97
2.04,0,0,0,-0.01,8.51,4.96
2.055,0,0,0,0,8.48,5.03
2.07,0,0,0,0.02,8.46,5.04
2.085,0,0,0,-0.03,8.48,4.94
2.1,0,0,0,-0.04,8.49,4.94
2.115,0,0,0,0.02,8.47,5.04
2.13,0,0,0,-0.02,8.52,4.95
2.145,0,0,0,0,8.48,5.01
2.16,0,0,0,-0.01,8.48,4.98
2.175,0,0,0,0,8.52,4.96
2.19,0,0,0,-0.01,8.5,4.94
2.205,0,0,0,0,8.46,5.04
2.22,0,0,0,-0.02,8.51,4.93
2.235,0,0,0,-0.04,8.49,4.96
2.25,0,0,0,-0.03,8.49,4.95
