Bus, Main, Main, Main, Main
Node, torque_vector, torque_vector, torque_vector, torque_vector
Message, vehHead, sfs_ang_vel, sfs_ang_vel, sfs_ang_vel
Signal, vehHead, sfs_ang_vel_x, sfs_ang_vel_y, sfs_ang_vel_z
87.915,0,-0.0009,0.0006,-0.0039
87.93,0,-0.0011,0.0046,-0.0028
87.945,0,-0.0015,0.0028,-0.003
87.96,0,-0.0011,0.0005,-0.0018
87.975,0,-0.0011,0.0005,-0.0018
87.99,0,-0.001,0.0048,-0.001
88.005,0,-0.0041,0.0033,-0.004
88.02,0,-0.0041,0.0033,-0.004
88.035,0,0,0.0019,-0.0024
88.05,0,0,0.0019,-0.0024
88.065,0,-0.0001,0.0049,-0.0034
88.08,0,-0.0021,0.0017,-0.0023
88.095,0,0.0003,0.0013,0.0003
88.11,0,0.0003,0.0013,0.0003
88.125,0,-0.0035,0.0016,-0.0007
88.14,0,-0.0025,-0.0008,-0.0019
88.155,0,-0.0021,0.0035,-0.0024
88.17,0,-0.0038,0.0016,0
88.185,0,-0.0038,0.0016,0
88.2,0,-0.0038,0.0016,0
88.215,0,-0.0007,0.002,-0.0026
88.23,0,-0.0032,0.0025,0.0024
88.245,0,-0.0032,-0.0003,-0.0014
88.26,0,-0.0032,-0.0003,-0.0014
88.275,0,-0.0012,-0.0019,-0.003
88.29,0,-0.0007,0.0014,0.0005
88.305,0,-0.0008,0.0031,-0.0032
88.32,0,-0.0008,0.0031,-0.0032
88.335,0,-0.0025,0.0009,-0.002
88.35,0,0,0.0015,-0.0013
88.365,0,-0.0039,0.0031,-0.0015
88.38,0,-0.0039,0.0031,-0.0015
88.395,0,0.0007,0.0008,-0.0004
88.41,0,0.0007,0.0008,-0.0004
88.425,0,-0.0005,-0.0002,0.0031
88.44,0,-0.0022,-0.004,-0.0006
88.455,0,-0.0039,0.0012,0.0001
88.47,0,-0.0039,0.0012,0.0001
88.485,0,-0.0012,0.0013,0.0001
88.5,0,-0.0003,-0.0014,-0.0003
88.515,0,-0.0045,0.0034,-0.0012
88.53,0,-0.0045,0.0034,-0.0012
88.545,0,-0.0045,0.0034,-0.0012
88.56,0,-0.0015,0.0027,-0.0041
88.575,0,-0.0015,0.0027,-0.0041
88.59,0,-0.0018,0.0012,-0.0025
88.605,0,-0.0045,0.0033,0
88.62,0,-0.0045,0.0033,0
88.635,0,-0.0025,-0.0001,-0.0009
88.65,0,-0.0022,0.0017,-0.0027
88.665,0,-0.0013,0.0043,-0.0026
88.68,0,-0.0013,0.0043,-0.0026
88.695,0,-0.0037,0.0028,-0.0036
88.71,0,-0.003,0.0039,-0.0028
88.725,0,-0.0017,0.0012,0.0015
88.74,0,-0.0017,0.0012,0.0015
88.755,0,-0.0017,0.0012,0.0015
88.77,0,-0.0036,0.0017,-0.005
88.785,0,-0.0037,0.0022,-0.0008
88.8,0,-0.0027,-0.0017,0.0001
88.815,0,-0.002,0.0031,0.0014
88.83,0,-0.002,0.0031,0.0014
88.845,0,-0.0011,0.0034,-0.0031
88.86,0,-0.0028,-0.0005,-0.0006
88.875,0,-0.0036,0.0054,-0.0024
88.89,0,-0.0036,0.0054,-0.0024
88.905,0,0,-0.0002,0.0004
