Bus, Main, Main, Main, Main, Main, Main, Main
Node, Main_Module, Main_Module, OrionBMS, Dashboard, Dashboard, torque_vector, torque_vector
Message, rear_wheel_speeds, rear_wheel_speeds, orion_currents_volts, filt_throttle_brake, dashboard_tv_parameters, throttle_vcu, throttle_vcu
Signal, left_speed_sensor, right_speed_sensor, pack_voltage, throttle, tv_enabled, vcu_k_rl, vcu_k_rr
2.955,0,0,287.2,4.05372,1,0,0
2.97,0,0,287.2,4.34676,1,0,0
2.985,0,0,287.2,4.71306,1,178,178
3,0,0,287.2,4.05372,1,193,193
3.015,0,0,287.2,5.39682,1,193,193
3.03,0,0,287.2,4.34676,1,166,166
3.045,0,0,287.2,4.78632,1,178,178
3.06,0,0,287.2,4.78632,1,196,196
3.075,0,0,287.2,4.78632,1,196,196
3.09,0,0,287.2,4.85958,1,196,196
3.105,0,0,287.2,4.6398,1,190,190
3.12,0,0,287.2,5.10378,1,190,190
3.135,0,0,287.2,4.49328,1,209,209
3.15,0,0,287.2,4.42002,1,184,184
3.165,0,0,287.2,5.10378,1,209,209
3.18,0,0,287.2,5.90964,1,209,209
3.195,0,0,287.2,4.2735,1,242,242
3.21,0,0,287.2,4.34676,1,175,175
3.225,0,0,287.2,4.34676,1,175,175
3.24,0,0,287.2,4.2735,1,178,178
3.255,0,0,287.2,3.663,1,175,175
3.27,0,0,287.2,4.42002,1,150,150
3.285,0,0,287.2,4.71306,1,150,150
3.3,0,0,287.2,4.78632,1,193,193
3.315,0,0,287.2,5.39682,1,196,196
3.33,0,0,287.2,5.39682,1,196,196
3.345,0,0,287.2,4.6398,1,221,221
3.36,0,0,287.2,4.42002,1,190,190
3.375,0,0,287.2,4.71306,1,193,193
3.39,0,0,287.2,6.30036,1,193,193
3.405,0,0,287.2,4.78632,1,258,258
3.42,0,0,287.2,5.76312,1,196,196
3.435,0,0,287.2,4.71306,1,193,193
3.45,0,0,287.2,4.6398,1,193,193
3.465,0,0,287.2,4.78632,1,190,190
3.48,0,0,287.2,5.10378,1,196,196
3.495,0,0,287.2,5.32356,1,196,196
3.51,0,0,287.2,5.10378,1,218,218
3.525,0,0,287.2,4.78632,1,209,209
3.54,0,0,287.2,4.71306,1,196,196
3.555,0,0,287.2,4.71306,1,196,196
3.57,0,0,287.2,4.93284,1,193,193
3.585,0,0,287.2,4.93284,1,202,202
3.6,0,0,287.2,4.93284,1,202,202
3.615,0,0,287.2,5.76312,1,202,202
3.63,0,0,287.2,4.2735,1,175,175
3.645,0,0,287.2,4.78632,1,196,196
3.66,0,0,287.2,5.6166,1,196,196
3.675,0,0,287.2,4.78632,1,230,230
3.69,0,0,287.2,4.49328,1,184,184
3.705,0,0,287.2,4.34676,1,178,178
3.72,0,0,287.2,4.71306,1,178,178
3.735,0,0,287.2,5.6166,1,193,193
3.75,0,0,287.2,5.32356,1,218,218
3.765,0,0,287.2,4.71306,1,218,218
3.78,0,0,287.2,4.49328,1,193,193
3.795,0,0,287.2,4.34676,1,184,184
3.81,0,0,287.2,4.93284,1,178,178
3.825,0,0,287.2,4.78632,1,178,178
3.84,0,0,287.2,4.93284,1,196,196
3.855,0,0,287.2,5.17704,1,202,202
3.87,0,0,287.2,5.17704,1,202,202
3.885,0,0,287.2,4.93284,1,212,212
3.9,0,0,287.2,5.32356,1,218,218
3.915,0,0,287.2,5.10378,1,209,209
3.93,0,0,287.2,5.32356,1,209,209
3.945,0,0,287.2,5.17704,1,218,218
3.96,0,0,287.2,5.2503,1,215,215
3.975,0,0,287.2,4.42002,1,215,215
3.99,0,0,287.2,4.78632,1,181,181
4.005,0,0,287.2,5.17704,1,196,196
4.02,0,0,287.2,5.17704,1,212,212
4.035,0,0,287.2,5.10378,1,212,212
4.05,0,0,287.2,4.71306,1,209,209
4.065,0,0,287.2,5.10378,1,193,193
4.08,0,0,287.2,5.10378,1,193,193
4.095,0,0,287.2,4.78632,1,209,209
4.11,0,0,287.2,4.71306,1,196,196
4.125,0,0,287.2,4.78632,1,193,193
4.14,0,0,287.2,4.78632,1,193,193
4.155,0,0,287.2,4.93284,1,196,196
4.17,0,0,287.2,4.6398,1,190,190
4.185,0,0,287.2,5.10378,1,209,209
4.2,0,0,287.2,5.6166,1,209,209
4.215,0,0,287.2,5.6166,1,230,230
4.23,0,0,287.2,5.76312,1,230,230
4.245,0,0,287.2,5.17704,1,230,230
4.26,0,0,287.2,6.44688,1,212,212
4.275,0,0,287.2,5.17704,1,264,264
4.29,0,0,287.2,5.68986,1,233,233
4.305,0,0,287.2,5.6166,1,233,233
4.32,0,0,287.2,5.54334,1,230,230
4.335,0,0,287.2,5.54334,1,227,227
4.35,0,0,287.2,6.30036,1,227,227
4.365,0,0,287.2,5.39682,1,227,227
4.38,0,0,287.2,5.6166,1,221,221
4.395,0,0,287.2,5.68986,1,230,230
4.41,0,0,287.2,5.68986,1,230,230
4.425,0,0,287.2,5.54334,1,233,233
4.44,0,0,287.2,5.39682,1,221,221
4.455,0,0,287.2,5.32356,1,221,221
4.47,0,0,287.2,6.37362,1,21,21
4.485,0,0,287.2,5.32356,1,25,25
4.5,0,0,287.2,6.30036,1,25,25
4.515,0,0,287.2,5.54334,1,25,25
4.53,0,0,287.2,5.2503,1,22,22
4.545,0,0,287.2,5.39682,1,21,21
4.56,0,0,287.2,5.54334,1,21,21
4.575,0,0,287.2,5.2503,1,21,21
4.59,0,0,287.2,5.39682,1,21,21
4.605,0,0,287.2,5.90964,1,21,21
4.62,0,0,287.2,5.68986,1,21,21
4.635,0,0,287.2,5.32356,1,22,22
4.65,0,0,287.2,5.54334,1,21,21
4.665,0,0,287.2,5.54334,1,22,22
4.68,0,0,287.2,5.90964,1,22,22
4.695,0,0,287.2,5.54334,1,22,22
4.71,0,0,287.2,6.37362,1,25,25
4.725,0,0,287.2,5.9829,1,25,25
4.74,0,0,287.2,6.88644,1,24,24
4.755,0,0,287.2,5.32356,1,27,27
4.77,0,0,287.2,7.13064,1,28,28
4.785,0,0,287.2,6.44688,1,28,28
4.8,0,0,287.2,5.68986,1,25,25
4.815,0,0,287.2,6.44688,1,22,22
4.83,0,0,287.2,6.73992,1,22,22
4.845,0,0,287.2,5.90964,1,27,27
4.86,0,0,287.2,5.68986,1,23,23
4.875,0,0,287.2,6.52014,1,22,22
4.89,0,0,287.2,5.9829,1,22,22
4.905,0,0,287.2,5.76312,1,26,26
4.92,0,0,287.2,5.76312,1,23,23
4.935,0,0,287.2,6.08058,1,24,24
4.95,0,0,287.2,5.9829,1,24,24
4.965,0,0,287.2,5.9829,1,24,24
4.98,0,0,287.2,5.76312,1,23,23
4.995,0,0,287.2,6.52014,1,23,23
5.01,0,0,287.2,5.6166,1,26,26
5.025,0,0,287.2,5.90964,1,22,22
5.04,0,0,287.2,6.44688,1,25,25
5.055,0,0,287.2,5.90964,1,25,25
5.07,0,0,287.2,5.68986,1,23,23
5.085,0,0,287.2,6.52014,1,22,22
5.1,0,0,287.2,5.9829,1,22,22
5.115,0,0,287.2,5.9829,1,24,24
5.13,0,0,287.2,5.90964,1,24,24
5.145,0,0,287.2,5.32356,1,23,23
5.16,0,0,287.2,6.44688,1,23,23
5.175,0,0,287.2,5.9829,1,25,25
5.19,0,0,287.2,5.9829,1,24,24
5.205,0,0,287.2,5.68986,1,24,24
5.22,0,0,287.2,5.39682,1,22,22
5.235,0,0,287.2,5.54334,1,21,21
5.25,0,0,287.2,5.90964,1,23,23
5.265,0,0,287.2,5.68986,1,23,23
5.28,0,0,287.2,5.68986,1,22,22
5.295,0,0,287.2,5.54334,1,22,22
5.31,0,0,287.2,5.6166,1,22,22
5.325,0,0,287.2,5.76312,1,22,22
5.34,0,0,287.2,7.13064,1,23,23
5.355,0,0,287.2,5.76312,1,28,28
5.37,0,0,287.2,6.15384,1,28,28
5.385,0,0,287.2,5.68986,1,24,24
5.4,0,0,287.2,5.2503,1,22,22
5.415,0,0,287.2,5.68986,1,22,22
5.43,0,0,287.2,7.13064,1,21,21
5.445,0,0,287.2,6.08058,1,28,28
5.46,0,0,287.2,6.08058,1,24,24
5.475,0,0,287.2,6.08058,1,24,24
5.49,0,0,287.2,6.81318,1,24,24
5.505,0,0,287.2,6.52014,1,26,26
5.52,0,0,287.2,6.44688,1,25,25
5.535,0,0,287.2,6.88644,1,25,25
5.55,0,0,287.2,7.2039,1,27,27
5.565,0,0,287.2,7.64346,1,30,30
5.58,0,0,287.2,6.37362,1,30,30
5.595,0,0,287.2,8.10744,1,25,25
