Bus, Main, Main, Main, Main, Main, Main, Main
Node, Main_Module, Main_Module, OrionBMS, Dashboard, Dashboard, torque_vector, torque_vector
Message, rear_wheel_speeds, rear_wheel_speeds, orion_currents_volts, filt_throttle_brake, dashboard_tv_parameters, throttle_vcu, throttle_vcu
Signal, left_speed_sensor, right_speed_sensor, pack_voltage, throttle, tv_enabled, vcu_k_rl, vcu_k_rr
2.955,0,0,285.8,6.15384,1,0,0
2.97,0,0,285.8,6.15384,1,252,252
2.985,0,0,285.8,6.88644,1,252,252
3,0,0,285.8,6.88644,1,252,252
3.015,0,0,285.8,6.15384,1,282,282
3.03,0,0,285.8,5.32356,1,252,252
3.045,0,0,285.8,5.32356,1,252,252
3.06,0,0,285.8,5.90964,1,218,218
3.075,0,0,285.8,7.27716,1,298,298
3.09,0,0,285.8,6.52014,1,298,298
3.105,0,0,285.8,5.9829,1,267,267
3.12,0,0,285.8,6.37362,1,245,245
3.135,0,0,285.8,7.2039,1,295,295
3.15,0,0,285.8,7.27716,1,295,295
3.165,0,0,285.8,6.30036,1,298,298
3.18,0,0,285.8,5.90964,1,258,258
3.195,0,0,285.8,6.37362,1,258,258
3.21,0,0,285.8,5.76312,1,261,261
3.225,0,0,285.8,7.27716,1,236,236
3.24,0,0,285.8,5.90964,1,298,298
3.255,0,0,285.8,6.30036,1,298,298
3.27,0,0,285.8,6.30036,1,258,258
3.285,0,0,285.8,6.37362,1,258,258
3.3,0,0,285.8,6.37362,1,258,258
3.315,0,0,285.8,6.15384,1,261,261
3.33,0,0,285.8,6.15384,1,252,252
3.345,0,0,285.8,6.30036,1,258,258
3.36,0,0,285.8,6.15384,1,258,258
3.375,0,0,285.8,6.81318,1,252,252
3.39,0,0,285.8,6.88644,1,279,279
3.405,0,0,285.8,6.9597,1,279,279
3.42,0,0,285.8,6.9597,1,285,285
3.435,0,0,285.8,6.08058,1,285,285
3.45,0,0,285.8,6.30036,1,249,249
3.465,0,0,285.8,5.68986,1,249,249
3.48,0,0,285.8,6.37362,1,233,233
3.495,0,0,285.8,5.76312,1,261,261
3.51,0,0,285.8,6.08058,1,261,261
3.525,0,0,285.8,5.90964,1,236,236
3.54,0,0,285.8,5.90964,1,242,242
3.555,0,0,285.8,7.27716,1,242,242
3.57,0,0,285.8,7.27716,1,242,242
3.585,0,0,285.8,6.15384,1,298,298
3.6,0,0,285.8,5.9829,1,252,252
3.615,0,0,285.8,6.15384,1,252,252
3.63,0,0,285.8,5.68986,1,252,252
3.645,0,0,285.8,6.30036,1,233,233
3.66,0,0,285.8,6.44688,1,258,258
3.675,0,0,285.8,5.9829,1,258,258
3.69,0,0,285.8,5.90964,1,245,245
3.705,0,0,285.8,6.08058,1,242,242
3.72,0,0,285.8,5.90964,1,249,249
3.735,0,0,285.8,6.44688,1,249,249
3.75,0,0,285.8,7.5702,1,264,264
3.765,0,0,285.8,6.44688,1,310,310
3.78,0,0,285.8,5.76312,1,310,310
3.795,0,0,285.8,7.27716,1,264,264
3.81,0,0,285.8,6.88644,1,298,298
3.825,0,0,285.8,5.90964,1,282,282
3.84,0,0,285.8,5.90964,1,282,282
3.855,0,0,285.8,5.90964,1,242,242
3.87,0,0,285.8,6.30036,1,258,258
3.885,0,0,285.8,6.37362,1,258,258
3.9,0,0,285.8,7.35042,1,261,261
3.915,0,0,285.8,7.2039,1,301,301
3.93,0,0,285.8,6.81318,1,279,279
3.945,0,0,285.8,6.52014,1,279,279
3.96,0,0,285.8,7.49694,1,267,267
3.975,0,0,285.8,6.9597,1,307,307
3.99,0,0,285.8,6.37362,1,285,285
4.005,0,0,285.8,6.81318,1,285,285
4.02,0,0,285.8,8.32722,1,279,279
4.035,0,0,285.8,7.13064,1,341,341
4.05,0,0,285.8,7.86324,1,341,341
4.065,0,0,285.8,7.5702,1,292,292
4.08,0,0,285.8,7.27716,1,310,310
4.095,0,0,285.8,7.27716,1,298,298
4.11,0,0,285.8,7.27716,1,298,298
4.125,0,0,285.8,8.00976,1,298,298
4.14,0,0,285.8,7.64346,1,313,313
4.155,0,0,285.8,8.69352,1,313,313
4.17,0,0,285.8,6.5934,1,356,356
4.185,0,0,285.8,7.71672,1,270,270
4.2,0,0,285.8,7.64346,1,313,313
4.215,0,0,285.8,6.44688,1,313,313
4.23,0,0,285.8,7.27716,1,264,264
4.245,0,0,285.8,6.73992,1,298,298
4.26,0,0,285.8,6.5934,1,298,298
4.275,0,0,285.8,7.71672,1,270,270
4.29,0,0,285.8,6.44688,1,316,316
4.305,0,0,285.8,6.44688,1,264,264
4.32,0,0,285.8,6.08058,1,264,264
4.335,0,0,285.8,6.81318,1,264,264
4.35,0,0,285.8,6.81318,1,279,279
4.365,0,0,285.8,6.81318,1,279,279
4.38,0,0,285.8,6.5934,1,279,279
4.395,0,0,285.8,6.37362,1,270,270
4.41,0,0,285.8,6.37362,1,261,261
4.425,0,0,285.8,7.35042,1,261,261
4.44,0,0,285.8,6.9597,1,301,301
4.455,0,0,285.8,7.13064,1,28,28
4.47,0,0,285.8,7.5702,1,28,28
4.485,0,0,285.8,7.9365,1,30,30
4.5,0,0,285.8,7.27716,1,32,32
4.515,0,0,285.8,6.81318,1,29,29
4.53,0,0,285.8,7.13064,1,29,29
4.545,0,0,285.8,7.2039,1,28,28
4.56,0,0,285.8,7.64346,1,29,29
4.575,0,0,285.8,7.35042,1,29,29
4.59,0,0,285.8,7.13064,1,30,30
4.605,0,0,285.8,7.13064,1,28,28
4.62,0,0,285.8,6.9597,1,28,28
4.635,0,0,285.8,7.2039,1,28,28
4.65,0,0,285.8,6.9597,1,29,29
4.665,0,0,285.8,7.13064,1,28,28
4.68,0,0,285.8,7.2039,1,29,29
4.695,0,0,285.8,7.64346,1,29,29
4.71,0,0,285.8,6.9597,1,30,30
4.725,0,0,285.8,6.9597,1,28,28
4.74,0,0,285.8,7.2039,1,28,28
4.755,0,0,285.8,6.5934,1,29,29
4.77,0,0,285.8,6.52014,1,26,26
4.785,0,0,285.8,6.73992,1,26,26
4.8,0,0,285.8,6.73992,1,26,26
4.815,0,0,285.8,6.5934,1,27,27
4.83,0,0,285.8,7.64346,1,26,26
4.845,0,0,285.8,6.52014,1,26,26
4.86,0,0,285.8,6.81318,1,30,30
4.875,0,0,285.8,6.81318,1,27,27
4.89,0,0,285.8,7.5702,1,30,30
4.905,0,0,285.8,6.81318,1,30,30
4.92,0,0,285.8,6.73992,1,27,27
4.935,0,0,285.8,6.30036,1,25,25
4.95,0,0,285.8,6.5934,1,25,25
4.965,0,0,285.8,6.52014,1,26,26
4.98,0,0,285.8,6.37362,1,26,26
4.995,0,0,285.8,6.37362,1,25,25
5.01,0,0,285.8,6.52014,1,25,25
5.025,0,0,285.8,7.49694,1,26,26
5.04,0,0,285.8,6.9597,1,30,30
5.055,0,0,285.8,6.73992,1,27,27
5.07,0,0,285.8,8.00976,1,27,27
5.085,0,0,285.8,6.5934,1,32,32
5.1,0,0,285.8,6.37362,1,26,26
5.115,0,0,285.8,6.73992,1,26,26
5.13,0,0,285.8,8.10744,1,27,27
5.145,0,0,285.8,8.10744,1,32,32
5.16,0,0,285.8,6.9597,1,28,28
5.175,0,0,285.8,7.13064,1,28,28
5.19,0,0,285.8,7.5702,1,28,28
5.205,0,0,285.8,6.81318,1,27,27
5.22,0,0,285.8,7.5702,1,27,27
5.235,0,0,285.8,7.9365,1,27,27
5.25,0,0,285.8,8.76678,1,27,27
5.265,0,0,285.8,7.9365,1,27,27
5.28,0,0,285.8,6.9597,1,27,27
5.295,0,0,285.8,7.5702,1,27,27
5.31,0,0,285.8,7.5702,1,27,27
5.325,0,0,285.8,8.547,1,27,27
5.34,0,0,285.8,8.84004,1,27,27
5.355,0,0,285.8,7.27716,1,27,27
5.37,0,0,285.8,7.71672,1,27,27
5.385,0,0,285.8,7.49694,1,27,27
5.4,0,0,285.8,7.49694,1,27,27
5.415,0,0,285.8,7.2039,1,27,27
5.43,0,0,285.8,7.5702,1,27,27
5.445,0,0,285.8,8.547,1,27,27
5.46,0,0,285.8,7.2039,1,27,27
5.475,0,0,285.8,7.2039,1,27,27
5.49,0,0,285.8,6.73992,1,27,27
5.505,0,0,285.8,6.9597,1,27,27
5.52,0,0,285.8,7.2039,1,27,27
5.535,0,0,285.8,6.81318,1,27,27
5.55,0,0,285.8,7.13064,1,27,27
5.565,0,0,285.8,6.9597,1,27,27
5.58,0,0,285.8,6.5934,1,27,27
5.595,0,0,285.8,6.5934,1,27,27
