Description,Name,x,y,z
aarm_low_for,a,-1388.254,280.739,-29.983
aarm_low_aft,b,-1725.691,283.219,-85.042
aarm_low_mnt,1,-1537.147,588.022,-90.844
aarm_upp_for,c,-1370.126,313.838,89.615
aarm_upp_aft,d,-1726.474,286.651,83.138
aarm_app_mnt,4,-1552.063,576.93,87.144
tierod_steer,e,-1739.85,268.551,-17.307
tierod_mnt,3,-1611.911,578.017,-26.529
rocker_pivot,f,-1459.09,324.326,207.004
rocker_pushrod_mnt,6,-1484.874,316.138,211.194
rocker_shock_mnt,8,-1467.533,254.901,240.554
shock_chasis,g,-1279.143,260.796,225.918
push_aarm_mnt,5,-1558.82,541.722,104.823
arb_rocker_mnt,7,-1491,291.581165,223.36
arb_pivot_arm,9,-1795.163,291.5811,223.36
arb_pivot,h,-1795.163,291.5811,116.8
tire_contact,2,-1535,628.546329,-203.169052
