CAD Name,ID,X,Y,Z
aarm_low_for,a,183.847,190.356,-75.054
aarm_low_aft,b,-176.348,230.973,-37.455
aarm_low_mnt,3,2.293,585.123,-91.307
aarm_upp_for,c,243.909,256.83,69.784
aarm_upp_aft,d,-170.306,252.478,112.815
aarm_app_mnt,4,-12.34,567.203,93.506
tierod_steer,e,120.16,220.98,-10.158
tierod_mnt,3,84.091,552.932,-30.046
rocker_pivot,f,51.739,254.741,305.899
rocker_pushrod_mnt,6,90.261,262.34,297.816
rocker_shock_mnt,7,59.527,202.657,345.326
shock_chasis,g,59.527,202.657,345.326
push_aarm_mnt,5,-8.15226,512.766069,110.0766
arb_rocker_mnt,8,38.67,238.625,319
arb_pivot_arm,9,-125,238.625,319
arb_pivot,h,-125,238.625,376.8
